customer_id,region,preferred_channel,acquisition_source,age_band,tier
C000127,EMEA,Online,Referral,25-34,Loyalty
C000128,Americas,Online,Social,45-54,Loyalty
C000129,Americas,Boutique,Social,35-44,Loyalty
C000130,Asia-Pacific,Boutique,Social,18-24,Loyalty
C000131,EMEA,Mixed,Event,18-24,Loyalty
C000132,Americas,Mixed,Boutique,18-24,Standard
C000133,Americas,Online,Boutique,55+,Standard
C000134,Americas,Online,Referral,18-24,VIP
C000135,Americas,Boutique,Social,35-44,Standard
C000136,EMEA,Online,Social,18-24,VIP
C000137,EMEA,Boutique,Event,45-54,Loyalty
C000138,Americas,Online,Event,25-34,Standard
C000139,Asia-Pacific,Mixed,Event,18-24,VIP
C000140,EMEA,Boutique,Event,45-54,VIP
C000141,Asia-Pacific,Online,Event,35-44,Standard
C000142,Japan,Boutique,Boutique,45-54,Loyalty
C000143,Japan,Mixed,Online,45-54,Standard
C000144,Asia-Pacific,Mixed,Event,45-54,Loyalty
C000145,Japan,Mixed,Event,35-44,Loyalty
C000146,Americas,Online,Social,45-54,Standard
C000147,Japan,Mixed,Event,45-54,Loyalty
C000148,EMEA,Boutique,Social,25-34,Loyalty
C000149,Americas,Boutique,Social,35-44,Loyalty
C000150,Asia-Pacific,Mixed,Boutique,55+,Standard
C000151,EMEA,Online,Referral,45-54,VIP
C000152,Americas,Mixed,Referral,45-54,Loyalty
C000153,EMEA,Online,Social,25-34,Loyalty
C000154,Americas,Boutique,Event,35-44,Loyalty
C000155,Asia-Pacific,Boutique,Event,35-44,Loyalty
C000156,Japan,Boutique,Social,35-44,Standard
C000157,EMEA,Mixed,Online,35-44,Standard
C000158,Americas,Online,Online,45-54,Loyalty
C000159,Asia-Pacific,Online,Online,35-44,Standard
C000160,Asia-Pacific,Online,Social,18-24,VIP
C000161,Americas,Boutique,Boutique,18-24,VIP
C000162,Asia-Pacific,Mixed,Online,45-54,Standard
C000163,EMEA,Mixed,Social,45-54,Loyalty
C000164,Japan,Boutique,Online,18-24,Loyalty
C000165,Japan,Online,Boutique,45-54,Loyalty
C000166,EMEA,Mixed,Boutique,25-34,Standard
C000167,Asia-Pacific,Online,Online,18-24,VIP
C000168,Japan,Mixed,Event,55+,Standard
C000169,Japan,Boutique,Referral,35-44,VIP
C000170,Japan,Boutique,Event,55+,Standard
C000171,EMEA,Online,Online,35-44,VIP
C000172,EMEA,Online,Online,25-34,VIP
C000173,EMEA,Online,Boutique,45-54,Loyalty
C000174,Japan,Boutique,Boutique,25-34,Loyalty
C000175,Asia-Pacific,Mixed,Referral,18-24,VIP
C000176,Americas,Boutique,Event,25-34,Loyalty
C000177,EMEA,Mixed,Online,25-34,Loyalty
C000178,Americas,Online,Boutique,25-34,Loyalty
C000179,Asia-Pacific,Boutique,Boutique,45-54,VIP
C000180,Asia-Pacific,Mixed,Referral,35-44,VIP
C000181,Japan,Boutique,Boutique,55+,Standard
C000182,Japan,Mixed,Social,55+,Loyalty
C000183,EMEA,Online,Online,55+,VIP
C000184,EMEA,Mixed,Social,55+,Standard
C000185,Americas,Boutique,Event,45-54,Loyalty
C000186,Americas,Mixed,Referral,45-54,Standard
C000187,Japan,Boutique,Referral,35-44,Loyalty
C000188,EMEA,Online,Social,45-54,VIP
C000189,Japan,Boutique,Referral,55+,Standard
C000190,Japan,Online,Social,35-44,Loyalty
C000191,EMEA,Boutique,Event,18-24,VIP
C000192,Japan,Boutique,Boutique,25-34,VIP
C000193,Asia-Pacific,Mixed,Referral,45-54,Standard
C000194,Americas,Boutique,Event,25-34,Loyalty
C000195,Japan,Mixed,Referral,18-24,Standard
C000196,Americas,Mixed,Online,35-44,VIP
C000197,EMEA,Mixed,Referral,18-24,Standard
C000198,EMEA,Boutique,Boutique,25-34,Loyalty
C000199,Asia-Pacific,Mixed,Social,45-54,Loyalty
C000200,Japan,Online,Referral,55+,Standard
C000201,Japan,Online,Event,55+,VIP
C000202,Americas,Online,Social,45-54,Loyalty
C000203,Asia-Pacific,Online,Social,35-44,VIP
C000204,Japan,Online,Referral,55+,Loyalty
C000205,Asia-Pacific,Boutique,Event,55+,Loyalty
C000206,Japan,Boutique,Online,25-34,VIP
C000207,Japan,Online,Referral,18-24,Loyalty
C000208,Japan,Mixed,Referral,45-54,VIP
C000209,Americas,Boutique,Boutique,25-34,VIP
C000210,Asia-Pacific,Online,Referral,18-24,VIP
C000211,Japan,Online,Online,45-54,VIP
C000212,Americas,Online,Referral,35-44,Loyalty
C000213,Japan,Mixed,Boutique,35-44,VIP
C000214,Japan,Boutique,Referral,55+,Standard
C000215,EMEA,Online,Social,25-34,VIP
C000216,EMEA,Boutique,Boutique,18-24,Loyalty
C000217,Americas,Mixed,Social,18-24,Standard
C000218,Asia-Pacific,Online,Social,35-44,Loyalty
C000219,Japan,Online,Online,55+,Loyalty
C000220,Americas,Online,Online,18-24,VIP
C000221,Japan,Mixed,Online,45-54,VIP
C000222,Americas,Online,Referral,35-44,Loyalty
C000223,Asia-Pacific,Mixed,Boutique,45-54,Loyalty
C000224,Americas,Online,Referral,35-44,VIP
C000225,Asia-Pacific,Mixed,Referral,35-44,Loyalty
C000226,Asia-Pacific,Online,Referral,45-54,Standard
C000227,Americas,Boutique,Event,35-44,VIP
C000228,Asia-Pacific,Mixed,Social,18-24,VIP
C000229,Japan,Boutique,Boutique,55+,VIP
C000230,EMEA,Mixed,Referral,35-44,Standard
C000231,Asia-Pacific,Online,Online,55+,Loyalty
C000232,Americas,Mixed,Boutique,18-24,Loyalty
C000233,Japan,Online,Event,35-44,VIP
C000234,Americas,Online,Social,35-44,VIP
C000235,Japan,Online,Online,25-34,VIP
C000236,Asia-Pacific,Mixed,Event,35-44,Standard
C000237,Asia-Pacific,Boutique,Social,35-44,Standard
C000238,Japan,Online,Online,25-34,VIP
C000239,Japan,Mixed,Social,18-24,Loyalty
C000240,EMEA,Boutique,Event,18-24,Loyalty
C000241,Asia-Pacific,Mixed,Social,55+,Loyalty
C000242,Asia-Pacific,Online,Online,45-54,Standard
C000243,Asia-Pacific,Mixed,Online,18-24,VIP
C000244,Japan,Mixed,Social,45-54,Standard
C000245,Americas,Online,Boutique,35-44,Loyalty
C000246,EMEA,Online,Online,55+,Standard
C000247,Japan,Boutique,Social,55+,Loyalty
C000248,Americas,Boutique,Boutique,45-54,VIP
C000249,Japan,Boutique,Boutique,35-44,Standard
C000250,Japan,Boutique,Online,35-44,Standard
C000251,Asia-Pacific,Mixed,Social,18-24,Loyalty
C000252,Asia-Pacific,Online,Boutique,45-54,Standard
C000253,Americas,Mixed,Event,18-24,Standard
C000254,Asia-Pacific,Online,Online,55+,Standard
C000255,EMEA,Mixed,Online,55+,Standard
C000256,Americas,Boutique,Online,55+,Standard
C000257,Asia-Pacific,Online,Online,55+,Loyalty
C000258,Americas,Online,Boutique,25-34,Standard
C000259,Asia-Pacific,Online,Event,35-44,Standard
C000260,Americas,Boutique,Boutique,25-34,VIP
C000261,Japan,Mixed,Boutique,18-24,Loyalty
C000262,Japan,Boutique,Event,55+,Standard
C000263,Japan,Mixed,Online,55+,Standard
C000264,Asia-Pacific,Boutique,Boutique,18-24,Loyalty
C000265,Japan,Boutique,Boutique,45-54,VIP
C000266,Japan,Online,Boutique,35-44,VIP
C000267,Americas,Online,Online,35-44,VIP
C000268,Asia-Pacific,Boutique,Event,55+,Loyalty
C000269,Japan,Mixed,Event,45-54,Standard
C000270,EMEA,Mixed,Event,25-34,Loyalty
C000271,Japan,Online,Referral,35-44,Loyalty
C000272,Japan,Boutique,Boutique,35-44,Loyalty
C000273,Asia-Pacific,Mixed,Social,35-44,Standard
C000274,Japan,Online,Boutique,18-24,Standard
C000275,Japan,Online,Social,25-34,VIP
C000276,EMEA,Mixed,Event,55+,Loyalty
C000277,EMEA,Boutique,Social,45-54,VIP
C000278,EMEA,Boutique,Event,35-44,Loyalty
C000279,EMEA,Mixed,Event,25-34,Standard
C000280,Japan,Online,Boutique,35-44,VIP
C000281,Asia-Pacific,Online,Social,55+,Standard
C000282,Japan,Mixed,Event,55+,VIP
C000283,EMEA,Mixed,Social,18-24,Standard
C000284,Asia-Pacific,Mixed,Social,35-44,Loyalty
C000285,EMEA,Online,Online,55+,VIP
C000286,Japan,Online,Online,18-24,Standard
C000287,Americas,Boutique,Referral,45-54,Loyalty
C000288,Americas,Boutique,Social,35-44,VIP
C000289,EMEA,Online,Online,25-34,VIP
C000290,EMEA,Mixed,Boutique,35-44,Loyalty
C000291,Japan,Boutique,Event,45-54,Loyalty
C000292,Asia-Pacific,Online,Event,18-24,Loyalty
C000293,Japan,Online,Social,55+,Loyalty
C000294,Asia-Pacific,Online,Online,45-54,VIP
C000295,EMEA,Online,Online,35-44,Standard
C000296,Americas,Boutique,Social,35-44,Standard
C000297,EMEA,Boutique,Referral,25-34,Standard
C000298,Japan,Mixed,Online,55+,VIP
C000299,Asia-Pacific,Online,Referral,18-24,Loyalty
C000300,EMEA,Boutique,Boutique,35-44,VIP
C000301,Japan,Mixed,Referral,45-54,Loyalty
C000302,EMEA,Boutique,Boutique,35-44,Standard
C000303,Japan,Mixed,Social,18-24,Loyalty
C000304,EMEA,Online,Referral,55+,Loyalty
C000305,EMEA,Boutique,Social,35-44,Standard
C000306,Asia-Pacific,Online,Boutique,55+,VIP
C000307,EMEA,Mixed,Event,25-34,Loyalty
C000308,Asia-Pacific,Mixed,Online,25-34,Standard
C000309,Americas,Boutique,Online,25-34,VIP
C000310,Americas,Mixed,Boutique,25-34,VIP
C000311,Japan,Boutique,Event,55+,Loyalty
C000312,Asia-Pacific,Mixed,Social,25-34,Loyalty
C000313,EMEA,Boutique,Referral,35-44,Loyalty
C000314,EMEA,Boutique,Event,18-24,Loyalty
C000315,Japan,Boutique,Boutique,18-24,Loyalty
C000316,Asia-Pacific,Online,Boutique,55+,VIP
C000317,Japan,Boutique,Event,55+,VIP
C000318,EMEA,Boutique,Event,25-34,Loyalty
C000319,Japan,Mixed,Online,18-24,Loyalty
C000320,EMEA,Boutique,Boutique,55+,VIP
C000321,Americas,Online,Online,45-54,Loyalty
C000322,Americas,Boutique,Social,35-44,Loyalty
C000323,Japan,Boutique,Event,18-24,VIP
C000324,Asia-Pacific,Online,Social,18-24,VIP
C000325,Japan,Boutique,Social,55+,Standard
C000326,Asia-Pacific,Online,Event,25-34,Loyalty
C000327,Asia-Pacific,Mixed,Referral,25-34,VIP
C000328,EMEA,Boutique,Event,45-54,VIP
C000329,Asia-Pacific,Online,Event,18-24,VIP
C000330,Japan,Mixed,Social,18-24,Loyalty
C000331,Asia-Pacific,Online,Online,35-44,Loyalty
C000332,Americas,Online,Online,25-34,Standard
C000333,Asia-Pacific,Online,Event,55+,VIP
C000334,EMEA,Mixed,Social,55+,Standard
C000335,Japan,Online,Online,25-34,VIP
C000336,Americas,Mixed,Referral,18-24,Loyalty
C000337,Asia-Pacific,Mixed,Online,45-54,VIP
C000338,Asia-Pacific,Mixed,Referral,25-34,VIP
C000339,Americas,Boutique,Referral,25-34,Loyalty
C000340,Japan,Boutique,Social,45-54,VIP
C000341,Japan,Online,Online,55+,Standard
C000342,Asia-Pacific,Online,Referral,35-44,VIP
C000343,EMEA,Mixed,Event,18-24,Loyalty
C000344,EMEA,Online,Social,45-54,VIP
C000345,Americas,Boutique,Boutique,25-34,Loyalty
C000346,Asia-Pacific,Online,Referral,18-24,Loyalty
C000347,Asia-Pacific,Online,Referral,18-24,Loyalty
C000348,Americas,Online,Social,18-24,VIP
C000349,Asia-Pacific,Online,Online,18-24,Loyalty
C000350,Japan,Mixed,Online,45-54,Loyalty
C000351,EMEA,Online,Boutique,35-44,Standard
C000352,Americas,Mixed,Event,55+,Loyalty
C000353,EMEA,Boutique,Online,35-44,Standard
C000354,EMEA,Online,Referral,55+,Loyalty
C000355,EMEA,Online,Referral,55+,VIP
C000356,EMEA,Mixed,Event,55+,Standard
C000357,Americas,Boutique,Referral,18-24,VIP
C000358,Asia-Pacific,Online,Event,45-54,Standard
C000359,EMEA,Mixed,Social,18-24,VIP
C000360,EMEA,Boutique,Referral,18-24,VIP
C000361,Japan,Boutique,Social,18-24,Loyalty
C000362,EMEA,Boutique,Online,18-24,VIP
C000363,Asia-Pacific,Online,Boutique,35-44,VIP
C000364,Asia-Pacific,Mixed,Online,45-54,VIP
C000365,Japan,Mixed,Online,25-34,Standard
C000366,Japan,Online,Social,25-34,Standard
C000367,Americas,Online,Social,35-44,VIP
C000368,Japan,Mixed,Referral,35-44,Standard
C000369,Americas,Boutique,Social,18-24,VIP
C000370,Asia-Pacific,Boutique,Boutique,35-44,Loyalty
C000371,Japan,Mixed,Referral,45-54,Loyalty
C000372,Americas,Boutique,Referral,35-44,VIP
C000373,Asia-Pacific,Online,Referral,18-24,Loyalty
C000374,Americas,Mixed,Social,35-44,Standard
C000375,EMEA,Boutique,Social,35-44,Loyalty
C000376,Japan,Online,Referral,35-44,Loyalty
C000377,EMEA,Mixed,Social,55+,Loyalty
C000378,Asia-Pacific,Mixed,Boutique,18-24,VIP
C000379,Japan,Boutique,Event,25-34,Standard
C000380,Americas,Mixed,Referral,18-24,Standard
C000381,EMEA,Online,Social,35-44,Loyalty
C000382,EMEA,Mixed,Online,45-54,Loyalty
C000383,Asia-Pacific,Boutique,Boutique,55+,Standard
C000384,Asia-Pacific,Boutique,Social,35-44,Standard
C000385,EMEA,Online,Online,45-54,VIP
C000386,Japan,Mixed,Boutique,35-44,Loyalty
C000387,Japan,Online,Event,35-44,VIP
C000388,Japan,Online,Boutique,25-34,Standard
C000389,Japan,Online,Referral,18-24,VIP
C000390,Asia-Pacific,Mixed,Social,18-24,VIP
C000391,Asia-Pacific,Boutique,Online,25-34,Loyalty
C000392,Americas,Online,Online,25-34,Standard
C000393,Japan,Online,Social,55+,VIP
C000394,Asia-Pacific,Boutique,Event,25-34,VIP
C000395,EMEA,Online,Social,45-54,VIP
C000396,Japan,Mixed,Referral,45-54,VIP
C000397,EMEA,Online,Social,18-24,Loyalty
C000398,Japan,Mixed,Event,35-44,Standard
C000399,Americas,Online,Referral,55+,Standard
C000400,EMEA,Mixed,Online,35-44,Standard
C000401,Americas,Boutique,Online,35-44,VIP
C000402,Asia-Pacific,Online,Social,25-34,VIP
C000403,Asia-Pacific,Online,Social,55+,VIP
C000404,EMEA,Mixed,Online,55+,VIP
C000405,Americas,Online,Event,55+,Loyalty
C000406,EMEA,Online,Boutique,18-24,VIP
C000407,Asia-Pacific,Mixed,Online,55+,Loyalty
C000408,EMEA,Boutique,Event,35-44,VIP
C000409,Asia-Pacific,Boutique,Online,45-54,Loyalty
C000410,Japan,Online,Boutique,25-34,Loyalty
C000411,Japan,Boutique,Referral,25-34,Loyalty
C000412,Americas,Boutique,Social,35-44,Loyalty
C000413,Americas,Boutique,Event,55+,Standard
C000414,Asia-Pacific,Online,Referral,18-24,Loyalty
C000415,Japan,Online,Online,18-24,Standard
C000416,Asia-Pacific,Boutique,Event,45-54,Standard
C000417,Americas,Boutique,Event,35-44,Standard
C000418,Americas,Boutique,Event,45-54,Loyalty
C000419,Asia-Pacific,Boutique,Boutique,18-24,Loyalty
C000420,Japan,Online,Online,55+,Loyalty
C000421,EMEA,Online,Social,45-54,VIP
C000422,Japan,Boutique,Event,18-24,Standard
C000423,Japan,Online,Social,35-44,Loyalty
C000424,Asia-Pacific,Online,Referral,18-24,VIP
C000425,Americas,Boutique,Event,35-44,Standard
C000426,Japan,Mixed,Referral,55+,Loyalty
C000427,EMEA,Online,Boutique,45-54,Loyalty
C000428,Asia-Pacific,Mixed,Social,25-34,Standard
C000429,Japan,Mixed,Boutique,18-24,Standard
C000430,Americas,Mixed,Social,45-54,VIP
C000431,Japan,Online,Event,55+,Standard
C000432,Asia-Pacific,Mixed,Social,25-34,Loyalty
C000433,Asia-Pacific,Mixed,Social,55+,VIP
C000434,Japan,Mixed,Event,35-44,Loyalty
C000435,EMEA,Boutique,Social,18-24,Loyalty
C000436,Asia-Pacific,Mixed,Boutique,55+,Loyalty
C000437,Asia-Pacific,Mixed,Event,55+,Standard
C000438,EMEA,Mixed,Referral,25-34,VIP
C000439,Japan,Online,Online,18-24,VIP
C000440,EMEA,Online,Boutique,45-54,Loyalty
C000441,Japan,Online,Referral,25-34,Loyalty
C000442,Japan,Mixed,Boutique,25-34,VIP
C000443,Americas,Mixed,Social,45-54,VIP
C000444,Japan,Boutique,Online,45-54,VIP
C000445,Asia-Pacific,Mixed,Social,35-44,VIP
C000446,Japan,Online,Online,35-44,VIP
C000447,Asia-Pacific,Online,Social,35-44,VIP
C000448,Americas,Mixed,Referral,35-44,Loyalty
C000449,Asia-Pacific,Mixed,Social,35-44,Standard
C000450,Japan,Boutique,Social,25-34,Loyalty
C000451,EMEA,Boutique,Boutique,35-44,Loyalty
C000452,Asia-Pacific,Mixed,Referral,25-34,Standard
C000453,Asia-Pacific,Mixed,Social,25-34,Standard
C000454,Americas,Online,Boutique,55+,Standard
C000455,Americas,Online,Boutique,45-54,Loyalty
C000456,Japan,Online,Online,18-24,VIP
C000457,Americas,Boutique,Referral,45-54,VIP
C000458,Americas,Boutique,Social,35-44,VIP
C000459,EMEA,Online,Event,25-34,VIP
C000460,EMEA,Online,Referral,25-34,Standard
C000461,Japan,Boutique,Online,35-44,Standard
C000462,EMEA,Boutique,Event,55+,Standard
C000463,Asia-Pacific,Boutique,Referral,55+,VIP
C000464,Japan,Online,Event,45-54,Loyalty
C000465,Americas,Online,Social,25-34,VIP
C000466,Japan,Mixed,Social,25-34,Standard
C000467,Asia-Pacific,Boutique,Event,25-34,Standard
C000468,Japan,Boutique,Event,35-44,Standard
C000469,Japan,Mixed,Boutique,25-34,Standard
C000470,Japan,Boutique,Online,18-24,Loyalty
C000471,Japan,Online,Referral,35-44,Loyalty
C000472,Asia-Pacific,Mixed,Event,18-24,Loyalty
C000473,Asia-Pacific,Mixed,Online,18-24,VIP
C000474,EMEA,Boutique,Social,25-34,Loyalty
C000475,Asia-Pacific,Mixed,Boutique,35-44,Loyalty
C000476,Americas,Online,Online,45-54,Standard
C000477,Japan,Mixed,Event,35-44,Loyalty
C000478,Japan,Mixed,Online,25-34,VIP
C000479,EMEA,Mixed,Referral,55+,VIP
C000480,Asia-Pacific,Online,Event,18-24,Standard
C000481,Americas,Mixed,Event,25-34,Standard
C000482,Asia-Pacific,Mixed,Referral,18-24,VIP
C000483,Americas,Mixed,Event,45-54,Standard
C000484,Japan,Online,Referral,25-34,VIP
C000485,Japan,Boutique,Event,18-24,VIP
C000486,Japan,Mixed,Social,18-24,Loyalty
C000487,Asia-Pacific,Online,Online,55+,Standard
C000488,EMEA,Boutique,Social,18-24,VIP
C000489,EMEA,Online,Referral,18-24,Loyalty
C000490,Japan,Online,Online,45-54,Loyalty
C000491,Japan,Boutique,Referral,45-54,Standard
C000492,Americas,Mixed,Social,18-24,Standard
C000493,Japan,Mixed,Online,25-34,Standard
C000494,EMEA,Boutique,Referral,55+,Loyalty
C000495,Japan,Online,Online,45-54,Loyalty
C000496,Americas,Boutique,Online,18-24,Standard
C000497,Japan,Mixed,Boutique,25-34,Standard
C000498,EMEA,Online,Event,18-24,Loyalty
C000499,EMEA,Online,Boutique,45-54,Loyalty
C000500,Americas,Mixed,Online,18-24,Standard
C000501,Asia-Pacific,Online,Event,35-44,VIP
C000502,Asia-Pacific,Online,Social,25-34,VIP
C000503,Americas,Boutique,Social,35-44,Standard
C000504,Americas,Mixed,Referral,55+,Loyalty
C000505,EMEA,Boutique,Referral,55+,Loyalty
C000506,Japan,Boutique,Online,35-44,Loyalty
C000507,Americas,Mixed,Referral,25-34,Standard
C000508,Asia-Pacific,Mixed,Online,45-54,Standard
C000509,Japan,Boutique,Event,55+,Standard
C000510,Japan,Online,Social,25-34,Loyalty
C000511,EMEA,Boutique,Social,18-24,VIP
C000512,Americas,Online,Social,45-54,VIP
C000513,EMEA,Online,Online,55+,VIP
C000514,Americas,Boutique,Online,35-44,Loyalty
C000515,EMEA,Online,Online,18-24,VIP
C000516,Japan,Online,Event,25-34,Loyalty
C000517,Americas,Mixed,Social,35-44,Loyalty
C000518,Japan,Mixed,Social,35-44,Loyalty
C000519,Asia-Pacific,Mixed,Referral,45-54,Standard
C000520,Japan,Boutique,Online,35-44,Loyalty
C000521,Japan,Online,Event,25-34,VIP
C000522,Americas,Online,Social,55+,VIP
C000523,Japan,Boutique,Online,25-34,Loyalty
C000524,Americas,Boutique,Event,25-34,Loyalty
C000525,Asia-Pacific,Boutique,Referral,45-54,Loyalty
C000526,Americas,Mixed,Social,25-34,Standard
C000527,Japan,Online,Event,18-24,VIP
C000528,EMEA,Online,Boutique,18-24,Loyalty
C000529,Americas,Mixed,Online,18-24,VIP
C000530,Americas,Online,Online,55+,Loyalty
C000531,Asia-Pacific,Online,Event,55+,Loyalty
C000532,Japan,Online,Boutique,55+,VIP
C000533,Japan,Online,Boutique,55+,VIP
C000534,Asia-Pacific,Mixed,Social,18-24,VIP
C000535,Japan,Online,Boutique,18-24,VIP
C000536,Americas,Online,Online,55+,VIP
C000537,Asia-Pacific,Boutique,Social,45-54,Standard
C000538,Asia-Pacific,Boutique,Referral,55+,Standard
C000539,Americas,Boutique,Boutique,18-24,Standard
C000540,Japan,Boutique,Referral,55+,Loyalty
