order_id,customer_id,order_date,category,basket_value,items_count,discount_flag,boutique_flag
ORD0000060,C000013,2025-03-15,Accessories,283.41,4,0,1
ORD0000061,C000013,2025-05-25,Beauty,512.33,1,0,1
ORD0000062,C000013,2024-12-19,Beauty,216.84,3,0,1
ORD0000063,C000013,2025-11-13,RTW,377.81,2,1,0
ORD0000064,C000014,2025-07-04,RTW,1022.86,4,0,1
ORD0000065,C000014,2025-01-30,RTW,76.57,4,0,0
ORD0000066,C000014,2024-11-02,RTW,120.53,4,0,0
ORD0000067,C000014,2025-04-06,Beauty,414.74,5,0,1
ORD0000068,C000014,2025-05-02,Fragrance,288.36,5,0,1
ORD0000069,C000014,2025-10-16,Accessories,340.01,4,1,0
ORD0000070,C000014,2024-09-20,Beauty,186.16,3,0,1
ORD0000071,C000015,2025-09-12,Beauty,213.31,3,0,1
ORD0000072,C000015,2025-03-24,Beauty,805.77,5,0,1
ORD0000073,C000015,2025-01-14,RTW,218.42,4,0,1
ORD0000074,C000015,2025-12-25,Accessories,315.3,2,0,1
ORD0000075,C000015,2024-10-23,Beauty,254.02,6,0,1
ORD0000076,C000016,2025-12-27,RTW,403.8,1,0,0
ORD0000077,C000016,2025-03-29,RTW,334.98,2,0,1
ORD0000078,C000016,2025-04-20,RTW,282.83,4,0,1
ORD0000079,C000017,2026-01-11,Fragrance,393.08,3,0,0
ORD0000080,C000017,2025-12-16,Beauty,98.07,8,0,0
ORD0000081,C000017,2024-11-15,RTW,203.01,4,0,0
ORD0000082,C000017,2025-12-29,Beauty,462.44,4,0,0
ORD0000083,C000018,2026-01-04,RTW,349.08,4,0,0
ORD0000084,C000018,2025-02-20,RTW,349.94,4,0,0
ORD0000085,C000018,2025-06-23,Beauty,308.29,4,0,1
ORD0000086,C000019,2024-11-12,Beauty,388.46,7,0,1
ORD0000087,C000019,2025-12-03,Beauty,1646.23,1,0,1
ORD0000088,C000019,2025-04-11,RTW,1053.17,2,0,0
ORD0000089,C000019,2024-10-13,Beauty,645.86,4,0,1
ORD0000090,C000019,2024-08-17,RTW,375.56,4,0,0
ORD0000091,C000019,2024-10-09,RTW,56.35,4,0,0
ORD0000092,C000020,2025-09-17,Beauty,88.4,2,0,1
ORD0000093,C000020,2025-04-25,Beauty,116.02,5,1,1
ORD0000094,C000020,2025-04-03,Beauty,413.61,1,0,1
ORD0000095,C000020,2025-04-25,Beauty,145.82,2,0,0
ORD0000096,C000020,2026-01-18,Fragrance,179.03,3,0,0
ORD0000097,C000020,2025-03-08,Accessories,159.97,3,0,0
ORD0000098,C000020,2024-11-02,Beauty,332.28,4,0,1
ORD0000099,C000021,2024-10-10,Accessories,50.74,4,1,1
ORD0000100,C000021,2025-06-21,Fragrance,507.54,3,0,1
ORD0000101,C000021,2025-11-10,Accessories,410.48,3,0,1
ORD0000102,C000022,2025-03-15,Beauty,173.25,3,0,0
ORD0000103,C000022,2025-05-11,RTW,694.14,3,0,0
ORD0000104,C000022,2024-09-11,Fragrance,364.41,4,0,0
ORD0000105,C000023,2025-09-02,Accessories,92.62,4,0,0
ORD0000106,C000024,2025-06-06,Beauty,189.63,2,1,1
ORD0000107,C000024,2024-08-30,RTW,291.08,3,0,0
ORD0000108,C000025,2025-12-19,Beauty,113.47,5,0,0
ORD0000109,C000025,2025-05-10,Beauty,329.4,3,0,1
ORD0000110,C000026,2025-02-03,Fragrance,50.0,3,0,1
ORD0000111,C000026,2025-06-04,Accessories,303.52,2,0,1
ORD0000112,C000026,2024-11-02,Fragrance,121.45,2,1,1
ORD0000113,C000026,2025-07-06,RTW,715.77,4,0,1
ORD0000114,C000026,2024-12-01,Accessories,201.71,4,1,1
ORD0000115,C000027,2025-04-16,Beauty,300.76,2,0,1
ORD0000116,C000027,2025-01-27,Accessories,254.4,3,0,1
ORD0000117,C000027,2025-01-12,Beauty,306.67,6,0,0
ORD0000118,C000027,2025-12-30,RTW,54.83,4,0,1
ORD0000119,C000027,2025-08-30,RTW,125.0,4,0,1
ORD0000120,C000028,2025-06-28,Fragrance,441.39,4,0,0
ORD0000121,C000028,2024-08-28,RTW,189.59,4,0,0
ORD0000122,C000028,2025-06-24,Accessories,386.78,4,0,0
ORD0000123,C000028,2025-08-30,RTW,225.63,3,0,0
ORD0000124,C000029,2025-11-11,Accessories,360.91,4,0,0
ORD0000125,C000030,2025-06-15,Beauty,320.94,4,0,0
ORD0000126,C000030,2024-11-28,Accessories,546.34,3,0,1
ORD0000127,C000030,2024-08-08,RTW,305.61,4,0,0
ORD0000128,C000030,2024-08-11,Accessories,500.4,4,0,1
ORD0000129,C000030,2025-07-15,RTW,2133.98,2,0,1
ORD0000130,C000030,2025-05-26,Fragrance,425.79,2,0,0
ORD0000131,C000030,2025-01-25,Fragrance,553.68,5,0,1
ORD0000132,C000030,2025-10-04,Beauty,50.0,3,0,1
ORD0000133,C000032,2024-12-07,RTW,759.52,2,0,1
ORD0000134,C000032,2024-08-31,Accessories,73.14,3,1,1
ORD0000135,C000032,2024-09-22,Accessories,2507.42,3,0,1
ORD0000136,C000032,2024-11-28,RTW,335.52,2,0,1
ORD0000137,C000033,2025-09-24,Accessories,181.28,3,0,1
ORD0000138,C000033,2024-12-09,Fragrance,53.1,3,0,0
ORD0000139,C000033,2025-05-09,RTW,103.78,4,0,1
ORD0000140,C000033,2025-10-02,Beauty,412.83,2,1,1
ORD0000141,C000034,2025-09-01,Fragrance,570.01,1,0,1
ORD0000142,C000034,2025-07-12,Beauty,129.68,4,0,0
ORD0000143,C000035,2026-01-15,Accessories,207.46,4,0,1
ORD0000144,C000035,2024-10-06,Beauty,73.62,5,0,1
ORD0000145,C000035,2025-12-27,Accessories,1148.88,4,0,1
ORD0000146,C000037,2025-08-13,RTW,181.06,4,0,1
ORD0000147,C000037,2024-12-29,Beauty,385.33,4,0,1
ORD0000148,C000039,2024-12-15,Fragrance,374.28,5,0,1
ORD0000149,C000039,2025-04-05,Beauty,146.29,5,1,0
ORD0000150,C000039,2025-02-20,Accessories,73.38,2,0,1
ORD0000151,C000039,2025-12-15,Fragrance,114.97,3,1,0
ORD0000152,C000040,2024-10-28,Beauty,58.42,4,0,0
ORD0000153,C000040,2024-11-10,Fragrance,267.1,3,0,0
ORD0000154,C000041,2025-09-15,Beauty,113.57,5,0,0
ORD0000155,C000041,2024-08-27,Beauty,198.46,5,1,0
ORD0000156,C000041,2025-01-17,Accessories,298.53,4,0,0
ORD0000157,C000041,2025-03-08,RTW,391.9,4,0,0
ORD0000158,C000041,2025-04-19,Fragrance,243.99,6,0,0
ORD0000159,C000042,2025-04-01,Beauty,346.45,1,0,1
ORD0000160,C000042,2024-08-18,Fragrance,200.34,8,0,0
ORD0000161,C000042,2024-11-20,Accessories,194.39,2,0,0
ORD0000162,C000042,2025-08-01,Beauty,124.35,4,0,1
ORD0000163,C000042,2025-06-29,Beauty,572.8,5,0,0
ORD0000164,C000042,2025-03-15,Beauty,210.65,2,1,0
ORD0000165,C000043,2025-10-01,RTW,422.14,4,0,0
ORD0000166,C000043,2025-06-15,Fragrance,126.03,4,0,0
ORD0000167,C000043,2025-05-10,Beauty,575.74,3,0,0
ORD0000168,C000043,2025-06-07,Beauty,50.0,5,0,0
ORD0000169,C000045,2025-07-03,RTW,235.94,3,0,0
ORD0000170,C000045,2025-08-11,RTW,712.28,3,1,0
ORD0000171,C000045,2025-07-15,Beauty,1024.21,4,1,0
ORD0000172,C000045,2026-01-04,RTW,872.35,4,0,1
ORD0000173,C000045,2024-11-20,Beauty,177.36,4,0,0
ORD0000174,C000045,2024-10-23,RTW,171.5,4,0,1
ORD0000175,C000045,2025-09-30,Fragrance,205.33,4,0,1
ORD0000176,C000046,2025-05-06,RTW,382.74,4,1,1
ORD0000177,C000046,2025-04-20,Accessories,86.21,4,0,1
ORD0000178,C000047,2025-02-02,Beauty,208.21,5,0,0
ORD0000179,C000047,2025-06-17,Beauty,143.73,5,0,1
ORD0000180,C000047,2024-08-29,Accessories,926.02,3,0,0
ORD0000181,C000047,2024-08-23,RTW,332.19,4,0,1
ORD0000182,C000047,2025-03-14,RTW,195.91,3,0,1
ORD0000183,C000048,2025-10-20,Accessories,832.44,1,0,1
ORD0000184,C000048,2025-03-11,RTW,94.61,4,0,1
ORD0000185,C000048,2025-12-25,Beauty,288.15,6,0,1
ORD0000186,C000048,2025-05-24,Accessories,62.81,4,0,1
ORD0000187,C000048,2025-06-19,Beauty,785.09,3,0,1
ORD0000188,C000049,2025-08-28,Fragrance,255.47,5,0,1
ORD0000189,C000049,2024-09-09,RTW,464.71,2,0,1
ORD0000190,C000049,2025-11-01,Beauty,102.88,6,0,0
ORD0000191,C000049,2025-06-25,Accessories,888.74,4,1,1
ORD0000192,C000049,2025-07-01,RTW,760.63,3,0,1
ORD0000193,C000049,2025-05-06,Accessories,414.85,3,0,0
ORD0000194,C000049,2025-06-04,Beauty,78.39,4,0,0
ORD0000195,C000049,2025-07-30,Beauty,439.9,4,0,0
ORD0000196,C000050,2025-04-06,Accessories,252.98,1,0,0
ORD0000197,C000050,2024-12-25,Fragrance,145.81,4,0,0
ORD0000198,C000050,2025-04-03,Accessories,130.36,2,1,0
ORD0000199,C000050,2025-04-11,Beauty,89.29,2,0,0
ORD0000200,C000050,2025-05-22,Beauty,185.51,3,0,0
ORD0000201,C000050,2024-10-12,Fragrance,113.98,2,0,0
ORD0000202,C000051,2025-02-09,Fragrance,767.04,6,0,0
ORD0000203,C000051,2024-09-22,RTW,239.68,4,0,0
ORD0000204,C000051,2024-12-05,Beauty,106.89,5,0,1
ORD0000205,C000051,2025-05-01,Accessories,122.22,4,0,0
ORD0000206,C000051,2024-12-08,RTW,185.56,3,1,0
ORD0000207,C000051,2025-05-08,Beauty,198.14,6,0,0
ORD0000208,C000054,2024-11-04,Accessories,739.52,4,0,1
ORD0000209,C000054,2025-12-06,Accessories,1042.68,4,0,1
ORD0000210,C000054,2025-02-17,Fragrance,965.26,5,0,1
ORD0000211,C000054,2024-10-29,RTW,593.29,3,0,1
ORD0000212,C000054,2025-08-13,Accessories,50.0,4,0,1
ORD0000213,C000056,2025-10-10,Beauty,340.28,4,0,1
ORD0000214,C000056,2025-02-27,Accessories,114.65,3,0,1
ORD0000215,C000056,2026-01-09,Beauty,630.17,6,0,1
ORD0000216,C000057,2025-02-23,Beauty,169.98,3,0,0
ORD0000217,C000057,2025-11-27,Beauty,174.72,5,0,0
ORD0000218,C000057,2025-01-25,Beauty,374.66,5,0,0
ORD0000219,C000057,2024-12-21,Beauty,237.5,3,0,0
ORD0000220,C000057,2025-08-18,Fragrance,109.28,7,0,0
ORD0000221,C000057,2025-06-24,Fragrance,832.29,3,0,0
ORD0000222,C000057,2026-01-17,RTW,435.88,4,1,1
ORD0000223,C000057,2024-08-09,Beauty,465.25,3,1,0
ORD0000224,C000058,2024-09-21,RTW,364.24,4,1,1
ORD0000225,C000058,2026-01-06,Accessories,451.56,4,0,0
ORD0000226,C000058,2025-05-22,Fragrance,490.65,1,1,0
ORD0000227,C000058,2025-01-09,Fragrance,100.72,4,0,1
ORD0000228,C000061,2025-04-29,Beauty,1041.48,5,0,1
ORD0000229,C000061,2024-09-01,Fragrance,628.06,1,0,0
ORD0000230,C000062,2024-12-01,Fragrance,82.15,8,1,0
ORD0000231,C000063,2025-08-28,Beauty,350.63,4,1,0
ORD0000232,C000063,2024-12-26,Beauty,72.27,4,0,0
ORD0000233,C000063,2025-03-17,Fragrance,258.82,4,0,1
ORD0000234,C000063,2026-01-07,Beauty,434.78,4,0,0
ORD0000235,C000063,2025-10-20,Accessories,129.04,4,0,0
ORD0000236,C000063,2024-10-05,Accessories,308.78,4,0,1
ORD0000237,C000064,2025-06-17,Accessories,802.6,4,0,1
ORD0000238,C000064,2024-09-23,RTW,251.54,3,0,1
ORD0000239,C000064,2024-08-30,Accessories,1894.06,4,0,1
ORD0000240,C000064,2024-09-09,Beauty,118.87,1,0,0
ORD0000241,C000064,2025-10-12,Accessories,691.89,4,0,1
ORD0000242,C000064,2026-01-05,RTW,1875.7,3,0,1
ORD0000243,C000065,2025-01-17,Accessories,205.5,3,0,1
ORD0000244,C000065,2025-03-18,RTW,87.35,2,0,1
ORD0000245,C000065,2025-11-06,RTW,502.2,3,1,1
ORD0000246,C000065,2024-09-16,Accessories,328.85,3,0,1
ORD0000247,C000065,2024-12-14,Accessories,172.84,4,0,1
ORD0000248,C000065,2025-06-06,Accessories,1219.72,2,1,1
ORD0000249,C000065,2024-12-05,Accessories,447.44,4,0,1
ORD0000250,C000065,2025-08-29,Accessories,292.76,4,1,1
ORD0000251,C000065,2024-12-10,Accessories,155.27,4,0,1
ORD0000252,C000066,2025-06-30,Accessories,215.56,4,0,0
ORD0000253,C000066,2024-09-06,Beauty,95.98,3,0,0
ORD0000254,C000068,2025-03-07,Beauty,50.01,7,0,0
ORD0000255,C000069,2025-11-08,RTW,813.51,4,0,1
ORD0000256,C000069,2025-11-12,Accessories,491.53,4,0,1
ORD0000257,C000069,2025-08-18,RTW,155.95,4,0,1
ORD0000258,C000071,2025-07-12,Beauty,171.95,1,0,0
ORD0000259,C000071,2025-12-22,Beauty,241.1,6,0,0
ORD0000260,C000071,2024-08-11,Fragrance,351.23,4,0,0
ORD0000261,C000071,2024-11-28,Beauty,148.44,3,0,1
ORD0000262,C000072,2024-11-11,Beauty,129.57,2,0,0
ORD0000263,C000072,2025-04-28,Fragrance,182.27,7,0,0
ORD0000264,C000073,2025-01-15,Beauty,252.64,3,0,1
ORD0000265,C000073,2025-04-08,RTW,617.87,3,0,1
ORD0000266,C000074,2025-01-15,Beauty,50.0,3,0,1
ORD0000267,C000074,2024-10-14,Fragrance,126.41,4,0,1
ORD0000268,C000075,2025-09-14,Fragrance,196.4,5,0,0
ORD0000269,C000075,2024-10-02,Accessories,137.96,4,1,1
ORD0000270,C000075,2025-08-30,RTW,1572.84,4,0,0
ORD0000271,C000075,2026-01-25,Fragrance,172.47,4,0,1
ORD0000272,C000076,2025-10-26,Beauty,370.95,1,0,1
ORD0000273,C000076,2025-11-29,RTW,168.4,4,0,1
ORD0000274,C000076,2025-11-23,Fragrance,904.49,3,0,1
ORD0000275,C000077,2025-06-13,Accessories,152.83,3,0,1
ORD0000276,C000077,2025-07-17,Accessories,467.85,2,0,0
ORD0000277,C000077,2024-11-20,RTW,745.83,4,0,1
ORD0000278,C000077,2024-12-14,Accessories,209.1,4,0,0
ORD0000279,C000077,2025-07-07,Fragrance,143.08,4,1,1
ORD0000280,C000077,2025-06-23,Beauty,358.07,6,0,1
ORD0000281,C000077,2025-10-18,Accessories,537.74,4,0,0
ORD0000282,C000078,2025-01-03,RTW,184.42,1,0,0
ORD0000283,C000078,2025-04-22,Beauty,247.82,6,0,0
ORD0000284,C000078,2024-10-03,Fragrance,106.9,6,0,1
ORD0000285,C000078,2025-06-07,Accessories,161.13,1,0,0
ORD0000286,C000078,2025-09-02,Beauty,67.59,4,0,0
ORD0000287,C000079,2026-01-30,Accessories,448.39,4,0,0
ORD0000288,C000079,2025-12-08,Accessories,251.53,2,0,0
ORD0000289,C000080,2024-11-21,Accessories,56.43,2,0,0
ORD0000290,C000080,2024-09-05,RTW,74.29,4,0,0
ORD0000291,C000080,2024-12-24,Beauty,53.11,3,0,0
ORD0000292,C000080,2024-10-02,Fragrance,494.24,2,0,0
ORD0000293,C000081,2025-03-12,Fragrance,895.9,6,0,0
ORD0000294,C000081,2025-06-25,Beauty,157.09,6,0,0
ORD0000295,C000081,2025-04-21,Beauty,125.26,2,0,0
ORD0000296,C000081,2024-11-04,Beauty,604.09,7,0,0
ORD0000297,C000081,2025-09-29,Beauty,298.15,5,0,0
ORD0000298,C000081,2025-02-08,Beauty,201.48,4,0,0
ORD0000299,C000081,2024-10-10,RTW,50.0,4,0,0
ORD0000300,C000081,2024-11-22,Beauty,212.2,5,0,0
ORD0000301,C000081,2025-07-19,Fragrance,132.98,5,0,0
ORD0000302,C000082,2026-01-20,Beauty,237.9,4,0,1
ORD0000303,C000082,2025-07-15,Accessories,924.21,2,1,1
ORD0000304,C000082,2025-10-26,Beauty,225.4,3,0,0
ORD0000305,C000082,2024-09-03,Fragrance,68.34,2,0,0
ORD0000306,C000083,2025-12-27,Accessories,337.62,2,0,1
ORD0000307,C000084,2024-12-19,Accessories,649.37,4,1,1
ORD0000308,C000084,2025-05-16,Accessories,153.39,4,0,1
ORD0000309,C000084,2025-12-30,Fragrance,177.8,4,0,0
ORD0000310,C000084,2024-10-22,RTW,167.36,2,0,1
ORD0000311,C000084,2025-10-16,RTW,165.05,3,1,1
ORD0000312,C000084,2025-08-27,RTW,342.83,4,0,1
ORD0000313,C000085,2025-09-18,RTW,178.74,2,1,1
ORD0000314,C000085,2025-09-30,RTW,190.86,3,1,1
ORD0000315,C000085,2025-11-28,Accessories,168.84,4,0,0
ORD0000316,C000085,2025-04-21,Accessories,648.6,3,0,1
ORD0000317,C000086,2026-01-13,Accessories,227.52,4,0,1
ORD0000318,C000086,2025-03-12,RTW,801.98,4,0,1
ORD0000319,C000086,2025-01-20,Accessories,191.23,4,0,0
ORD0000320,C000086,2024-12-14,Fragrance,729.45,4,0,1
ORD0000321,C000087,2025-11-29,Beauty,76.63,9,1,0
ORD0000322,C000087,2024-09-04,RTW,69.53,1,0,0
ORD0000323,C000087,2025-08-07,Fragrance,146.75,4,0,0
ORD0000324,C000087,2025-07-11,Accessories,235.98,4,0,0
ORD0000325,C000087,2026-01-27,Accessories,142.11,4,0,0
ORD0000326,C000087,2025-10-02,Beauty,352.64,2,0,0
ORD0000327,C000087,2025-11-03,Beauty,278.76,5,0,0
ORD0000328,C000087,2025-10-03,Beauty,165.76,5,0,0
ORD0000329,C000087,2025-11-03,Fragrance,479.65,2,0,0
ORD0000330,C000087,2026-01-10,RTW,287.81,4,0,0
ORD0000331,C000088,2025-06-22,Beauty,271.53,8,0,0
ORD0000332,C000088,2025-05-23,Beauty,207.81,5,0,0
ORD0000333,C000088,2025-07-19,RTW,154.92,1,0,0
ORD0000334,C000089,2025-03-19,Accessories,234.46,4,1,0
ORD0000335,C000090,2025-08-01,RTW,151.41,4,0,1
ORD0000336,C000090,2024-12-03,RTW,762.88,3,0,1
ORD0000337,C000090,2025-07-10,Beauty,70.82,4,0,1
ORD0000338,C000090,2024-11-06,Beauty,252.47,7,0,1
ORD0000339,C000090,2025-01-23,Fragrance,338.45,3,0,1
ORD0000340,C000091,2024-10-27,Beauty,392.73,5,0,0
ORD0000341,C000091,2025-08-09,Beauty,268.76,7,1,0
ORD0000342,C000091,2025-01-01,Accessories,191.2,2,0,0
ORD0000343,C000091,2024-11-12,Fragrance,50.0,7,0,0
ORD0000344,C000091,2025-04-10,Beauty,126.63,1,0,0
ORD0000345,C000091,2024-09-02,Beauty,50.0,4,0,0
ORD0000346,C000091,2025-04-30,Beauty,54.01,3,1,0
ORD0000347,C000092,2025-05-11,Beauty,249.87,6,0,1
ORD0000348,C000092,2025-10-04,Beauty,175.32,3,0,1
ORD0000349,C000092,2024-10-01,Accessories,315.28,4,0,1
ORD0000350,C000092,2025-01-14,Accessories,756.91,4,0,1
ORD0000351,C000092,2025-12-27,RTW,359.32,3,0,1
ORD0000352,C000092,2025-01-28,Accessories,195.68,2,0,1
ORD0000353,C000093,2024-11-25,Beauty,189.06,2,0,1
ORD0000354,C000093,2025-10-20,RTW,746.89,3,0,1
ORD0000355,C000093,2025-08-17,Accessories,706.6,4,0,1
ORD0000356,C000093,2026-01-08,RTW,293.38,2,0,0
ORD0000357,C000093,2024-11-11,Fragrance,154.31,4,0,0
ORD0000358,C000093,2025-05-26,Beauty,58.4,7,0,1
ORD0000359,C000093,2025-02-19,Fragrance,503.16,8,0,1
ORD0000360,C000093,2025-12-20,Accessories,794.94,4,0,0
ORD0000361,C000093,2024-08-29,Fragrance,74.05,3,1,1
ORD0000362,C000094,2025-04-30,Beauty,549.77,2,0,0
ORD0000363,C000094,2026-01-01,Beauty,389.49,4,0,0
ORD0000364,C000094,2025-03-29,Fragrance,655.52,3,0,0
ORD0000365,C000094,2024-08-12,Fragrance,165.88,1,0,0
ORD0000366,C000094,2025-09-10,Beauty,249.73,3,0,0
ORD0000367,C000094,2025-12-06,Accessories,50.0,4,0,0
ORD0000368,C000094,2025-09-08,RTW,135.5,4,0,0
ORD0000369,C000094,2025-08-14,Beauty,69.26,6,0,0
ORD0000370,C000095,2025-07-09,Fragrance,116.65,5,0,1
ORD0000371,C000095,2025-11-09,Accessories,160.18,4,0,0
ORD0000372,C000095,2024-11-09,Accessories,223.63,1,1,1
ORD0000373,C000095,2025-01-12,Accessories,115.31,4,1,1
ORD0000374,C000096,2025-10-20,Accessories,350.33,4,0,0
ORD0000375,C000096,2025-06-27,Fragrance,277.0,5,0,0
ORD0000376,C000096,2024-10-13,Accessories,382.68,4,0,0
ORD0000377,C000097,2025-10-24,RTW,351.86,4,0,1
ORD0000378,C000097,2025-09-16,RTW,711.54,3,0,1
ORD0000379,C000097,2025-04-16,Fragrance,237.75,4,0,0
ORD0000380,C000097,2024-11-22,Fragrance,688.2,3,0,0
ORD0000381,C000098,2025-02-09,Fragrance,169.6,3,0,0
ORD0000382,C000098,2026-01-03,RTW,558.19,4,0,0
ORD0000383,C000098,2025-06-04,Accessories,422.77,4,0,1
ORD0000384,C000098,2026-01-29,RTW,496.37,3,0,0
ORD0000385,C000098,2025-11-12,Beauty,75.38,2,0,1
ORD0000386,C000098,2025-07-22,Beauty,75.85,5,1,1
ORD0000387,C000098,2025-10-27,Beauty,280.27,3,0,0
ORD0000388,C000099,2024-11-21,Beauty,88.44,4,0,1
ORD0000389,C000099,2024-09-25,Accessories,173.84,4,1,0
ORD0000390,C000100,2024-11-25,Accessories,325.98,3,0,1
ORD0000391,C000100,2024-08-19,RTW,50.0,3,0,1
ORD0000392,C000100,2025-11-07,Accessories,370.7,4,0,1
ORD0000393,C000100,2024-12-12,Beauty,177.2,3,0,1
ORD0000394,C000101,2025-03-10,Fragrance,109.07,3,0,0
ORD0000395,C000101,2024-10-22,Accessories,182.23,1,1,0
ORD0000396,C000101,2024-12-15,Beauty,90.58,2,0,1
ORD0000397,C000101,2024-11-21,Beauty,442.94,7,0,0
ORD0000398,C000101,2024-10-26,RTW,222.57,4,0,0
ORD0000399,C000101,2025-02-21,Beauty,112.93,8,0,0
ORD0000400,C000101,2025-10-08,Accessories,126.78,4,0,0
ORD0000401,C000102,2025-01-03,Fragrance,104.03,2,0,1
ORD0000402,C000102,2026-01-23,Accessories,103.04,4,0,0
ORD0000403,C000102,2025-05-11,RTW,547.14,3,0,1
ORD0000404,C000102,2024-10-22,Accessories,135.75,4,0,1
ORD0000405,C000103,2025-12-21,Beauty,248.69,2,0,0
ORD0000406,C000103,2025-01-20,Beauty,69.39,2,1,0
ORD0000407,C000103,2025-01-17,Fragrance,307.97,2,0,1
ORD0000408,C000103,2025-04-02,Beauty,235.18,4,0,1
ORD0000409,C000103,2025-05-02,Fragrance,50.0,7,0,1
ORD0000410,C000104,2026-01-13,Fragrance,373.2,1,0,1
ORD0000411,C000104,2025-12-25,Fragrance,347.17,3,0,1
ORD0000412,C000104,2025-12-24,Fragrance,1104.93,4,0,1
ORD0000413,C000105,2025-08-04,Accessories,218.79,4,1,0
ORD0000414,C000105,2025-09-04,Beauty,165.73,3,0,0
ORD0000415,C000105,2025-04-24,RTW,50.0,4,0,0
ORD0000416,C000105,2025-05-26,Beauty,105.98,4,0,0
ORD0000417,C000105,2024-08-12,Beauty,111.58,5,0,1
ORD0000418,C000106,2025-03-02,Beauty,148.94,4,0,0
ORD0000419,C000106,2025-10-19,Beauty,75.32,5,0,0
ORD0000420,C000106,2025-11-11,Beauty,158.9,5,0,0
ORD0000421,C000106,2025-03-27,Beauty,153.29,2,0,1
